ip_new,location_new,device_new,time_deviation,password_attempts,failed_attempts_24h,geo_distance,label
0,0,0,0.13,1,1,441.4,0
0,1,0,0.49,3,0,340.55,0
0,0,1,0.6,1,0,387.57,0
0,1,1,0.68,1,1,469.17,0
0,0,0,0.09,1,0,181.91,0
0,0,0,0.45,1,0,228.62,0
0,1,0,0.35,3,0,164.27,0
1,0,0,0.2,2,2,389.57,0
1,0,0,0.39,3,0,285.03,0
0,0,0,0.49,3,0,331.16,0
0,1,0,0.27,1,0,363.37,0
0,0,0,0.07,1,0,316.36,0
0,0,0,0.61,2,1,204.01,0
0,0,0,0.15,2,0,87.56,0
0,0,0,0.09,1,0,15.49,0
0,0,0,0.1,1,0,427.64,0
0,0,0,0.2,1,0,282.24,0
0,1,0,0.06,3,0,163.17,0
0,0,0,0.86,5,4,1170.15,1
0,1,0,0.26,1,0,363.84,0
0,0,1,0.01,1,0,244.03,0
0,0,1,0.11,2,0,7.91,0
1,0,0,0.8,3,2,142.66,1
0,0,0,0.64,1,0,1.43,0
0,1,0,0.01,2,2,327.78,0
1,0,0,0.88,2,2,1913.51,1
0,0,0,0.23,3,0,24.88,0
0,0,0,0.25,2,0,181.39,0
0,0,0,0.45,1,0,195.77,0
1,0,1,0.63,3,2,1183.61,1
0,0,1,0.66,3,1,344.12,0
1,0,0,0.67,1,0,367.43,0
0,0,1,0.28,1,0,429.86,0
0,0,0,0.41,3,0,23.34,0
0,1,0,0.09,1,0,407.75,0
0,0,0,0.69,1,2,457.18,0
0,1,0,0.42,1,0,127.07,0
0,0,0,0.62,1,1,459.14,0
0,0,0,0.16,1,0,165.89,0
0,1,0,0.21,1,0,277.97,0
0,0,0,0.02,1,1,177.31,0
0,1,0,0.48,1,0,188.06,0
1,1,1,0.93,3,2,1133.31,1
0,0,1,0.0,1,2,254.28,0
0,0,0,0.53,1,0,150.75,0
0,0,1,0.42,1,0,53.92,0
0,0,0,0.32,1,0,427.2,0
0,0,0,0.62,1,0,212.13,0
1,0,0,0.48,4,3,210.68,1
0,0,1,0.12,1,1,472.31,0
0,0,0,0.4,3,1,114.18,0
0,0,0,0.07,1,0,197.83,0
0,1,1,0.26,1,0,328.09,0
0,0,0,0.35,1,0,173.33,0
1,1,0,0.95,3,2,294.24,1
0,0,1,0.54,1,0,59.08,0
1,1,1,0.7,5,3,1631.45,1
0,0,0,0.01,1,0,149.1,0
0,0,0,0.66,3,0,179.11,0
0,0,1,0.19,1,1,43.24,0
0,0,0,0.12,3,1,115.25,0
1,0,0,0.29,1,0,204.6,0
0,1,0,0.12,1,0,457.15,0
0,0,0,0.22,1,2,336.07,0
1,0,0,0.47,1,0,71.47,0
0,0,0,0.36,2,0,176.53,0
0,0,1,0.48,1,1,100.13,0
0,0,0,0.29,2,1,384.65,0
0,0,1,0.19,1,0,64.54,0
1,0,0,0.69,1,1,222.66,0
1,0,0,0.25,2,0,35.45,0
1,1,1,0.81,2,2,228.25,1
0,1,1,0.4,2,2,121.8,0
0,1,0,0.39,1,0,168.39,0
0,0,0,0.16,1,0,27.67,0
0,0,0,0.53,2,0,277.77,0
0,0,0,0.43,1,0,185.94,0
0,0,1,0.62,3,1,73.4,0
0,0,0,0.59,2,1,328.08,0
1,0,0,0.6,1,2,340.25,0
0,1,0,0.41,3,1,268.16,0
